,Fixed effect,FE lower CI,FE upper CI,n,D_indep,n_indep,share_indep,HHi,var,mean_cycles
group80_1,1.9591552283638594,1.9583954457503505,1.9599150109773682,5.0,True,2.0,0.4,0.20000000000000004,0.0011784562185518843,
group80_2,1.963376138999459,1.9626776882270258,1.9640745897718923,5.0,True,1.0,0.2,0.28,0.001591078886480495,
group80_3,1.9938696547365653,1.993304652577706,1.9944346568954245,8.0,True,2.0,0.25,0.15625,0.001463654069684188,
group80_4,1.9083039103301653,1.9066393100252892,1.9099685106350415,1.0,True,1.0,1.0,1.0,0.0,
group80_5,1.9705411221246838,1.9697581600025262,1.9713240842468414,4.0,True,2.0,0.5,0.25,0.0008681800067978296,
group80_6,1.966077798863187,1.9650207766125678,1.9671348211138062,2.0,False,0.0,0.0,0.5,0.0002939932087683668,
group80_7,1.967784394763993,1.9670369671627153,1.9685318223652708,4.0,True,1.0,0.25,0.25,0.000561853208159011,
group80_8,1.9701031003096432,1.9694345807397564,1.97077161987953,5.0,True,2.0,0.4,0.28,0.0010200289978436906,
group80_9,1.9748728671814428,1.9738158449308236,1.975929889432062,2.0,False,0.0,0.0,0.5,0.00023018655444432995,
group80_10,1.9702310219686783,1.969367966915083,1.9710940770222736,5.0,True,3.0,0.6,0.3600000000000001,0.0008013044233211029,
group80_11,1.967820366951298,1.9671518473814111,1.9684888865211847,7.0,True,1.0,0.14285714285714285,0.22448979591836732,0.0006667154704217531,
group80_12,1.9462708100622266,1.9456361871455543,1.9469054329788988,9.0,True,5.0,0.5555555555555556,0.20987654320987653,0.0014505232593662889,
group80_13,1.9523867078636608,1.951639280262383,1.9531341354649385,4.0,False,0.0,0.0,0.375,0.0006527236024173417,
group80_14,1.9503572696174967,1.9494942145639014,1.951220324671092,3.0,False,0.0,0.0,0.5555555555555556,0.0002721118923366543,
group80_15,1.9348884910052366,1.9340390282192723,1.935737953791201,5.0,True,2.0,0.4,0.20000000000000004,0.0005655861149877518,
group80_16,1.9700863372291564,1.9685914820266006,1.9715811924317121,1.0,False,0.0,0.0,1.0,0.0,
group80_17,1.9500237343813096,1.9490217627425628,1.9510257060200564,3.0,True,1.0,0.3333333333333333,0.3333333333333333,0.00025024807009120943,
group80_18,1.952521298980071,1.9516582439264758,1.9533843540336664,4.0,True,2.0,0.5,0.5,0.00022252781142188265,
group80_19,1.978170524519443,1.9774319775613889,1.978909071477497,5.0,True,1.0,0.2,0.28,0.001457141808516159,
group80_20,1.9945882291223227,1.993919709552436,1.9952567486922095,6.0,True,1.0,0.16666666666666666,0.2777777777777778,0.0006477513999674355,
group80_21,1.9780580863536668,1.977447814272732,1.9786683584346014,6.0,False,0.0,0.0,0.3888888888888889,0.0009165253716182377,
group80_22,1.9653270109403587,1.9646584913704719,1.9659955305102454,5.0,False,0.0,0.0,0.3600000000000001,0.0005912911145770455,
group80_23,1.961531100225767,1.9606680451721716,1.9623941552793622,3.0,True,2.0,0.6666666666666666,0.3333333333333333,0.0006523722389717592,
group80_24,1.9485340550457795,1.9476709999921842,1.9493971100993748,4.0,True,2.0,0.5,0.25,0.0004360892211089348,
group80_25,1.9328440925804655,1.9313492373779098,1.9343389477830213,1.0,True,1.0,1.0,1.0,0.0,
group80_26,1.95275079463187,1.9516937723812509,1.9538078168824893,2.0,True,1.0,0.5,0.5,0.0002741838187349101,
group80_27,1.956560661779991,1.9558921422101043,1.9572291813498779,5.0,True,1.0,0.2,0.20000000000000004,0.0006870209049126972,
group80_28,1.958981819747757,1.9579247974971379,1.9600388419983763,2.0,False,0.0,0.0,0.5,0.00017938900004866435,
group80_29,1.9476490679193919,1.9467860128657966,1.9485121229729871,3.0,True,2.0,0.6666666666666666,0.5555555555555556,6.612081086330974e-05,
group80_30,1.9857942225333476,1.9849311674797523,1.9866572775869429,3.0,False,0.0,0.0,0.5555555555555556,0.00023794932239625156,
group80_31,1.9881455834760007,1.9872825284224054,1.989008638529596,3.0,False,0.0,0.0,0.5555555555555556,0.0001642920545656469,
group80_32,1.9584762831001143,1.9578077635302276,1.9591448026700011,6.0,True,1.0,0.16666666666666666,0.16666666666666669,0.0012899474317089302,
group80_33,1.9471884920656055,1.9461314698149863,1.9482455143162247,3.0,True,2.0,0.6666666666666666,0.3333333333333333,7.32554989305552e-05,
group80_34,1.9657457291815652,1.964688706930946,1.9668027514321844,3.0,False,0.0,0.0,0.5555555555555556,0.0002304029986572635,
group80_35,1.9617577539185012,1.9610103263172234,1.962505181519779,5.0,True,3.0,0.6,0.20000000000000004,0.0008536216724105042,
group80_36,1.9775246700517257,1.9764676478011065,1.978581692302345,2.0,False,0.0,0.0,0.5,0.00021317329461520302,
group80_37,1.974629350736924,1.9735723284863047,1.9756863729875431,2.0,False,0.0,0.0,1.0,1.7085674921681192e-05,
group80_38,1.9784323181025827,1.976937462900027,1.9799271733051385,1.0,False,0.0,0.0,1.0,0.0,
